Data Ora,590 [°C],590 [m/s],789 [°C],789 [m/s],154 [°C],154 [m/s],348 [°C],348 [m/s],261 [°C],261 [m/s],..........
05.12.2022 10:48:46,8.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,.........
05.12.2022 10:48:47,8.3,0.89,8.1,0.70,8.2,0.76,8.1,0.58,7.9,0.41,
05.12.2022 10:48:48,-1,0.97,8.1,0.79,8.2,0.61,8.1,0.49,7.9,0.46,.
05.12.2022 10:48:49,8.3,0.98,8.0,0.90,8.2,0.75,8.1,0.82,7.9,0.57,
05.12.2022 10:48:50,8.3,1.10,8.0,0.95,8.2,0.82,8.1,1.03,7.9,0.87,
05.12.2022 10:48:51,-1,-1,8.0,0.86,8.2,0.72,8.1,0.85,7.9,0.91,..
05.12.2022 10:48:52,8.3,1.46,8.0,1.00,8.2,1.08,8.0,1.04,7.9,0.96,
05.12.2022 10:48:53,8.2,1.67,8.0,1.35,8.2,1.42,8.0,1.06,7.9,0.97,
05.12.2022 10:48:54,8.2,1.75,8.0,1.26,8.1,1.35,8.0,0.69,7.9,0.39,
05.12.2022 10:48:55,8.2,-1,8.0,1.16,8.1,1.45,8.0,1.12,7.9,0.88,.
05.12.2022 10:48:56,-1,2.10,8.0,1.44,8.1,1.57,8.0,1.41,7.8,0.99,.
05.12.2022 10:48:57,8.1,2.74,7.9,1.65,8.1,1.85,8.0,1.51,7.8,1.13,
05.12.2022 10:48:58,8.1,-1,7.9,2.00,8.1,1.98,8.0,1.87,7.8,1.25,.
05.12.2022 10:48:59,-1,2.78,7.9,1.66,8.1,1.81,8.0,1.58,7.8,1.60,.
05.12.2022 10:49:00,8.1,2.62,7.9,1.91,8.1,1.89,8.0,1.94,7.8,1.15,
05.12.2022 10:49:01,8.1,2.89,7.9,1.89,8.1,2.25,8.0,1.58,7.8,0.98,
05.12.2022 10:49:02,-1,3.32,7.9,2.00,8.1,2.10,8.0,1.73,7.9,0.86,.
05.12.2022 10:49:03,8.1,2.54,7.9,2.16,8.1,2.10,7.9,2.18,7.8,1.52,
05.12.2022 10:49:04,8.1,3.16,7.9,2.14,8.0,2.19,7.9,2.08,7.8,1.54,
05.12.2022 10:49:05,8.1,2.88,7.9,1.36,8.0,1.36,7.9,1.03,7.8,1.40,
05.12.2022 10:49:06,8.1,2.76,7.9,1.65,8.0,1.73,7.9,0.38,7.8,1.26,
05.12.2022 10:49:07,8.1,-1,7.9,1.96,8.0,1.67,7.9,1.67,7.8,0.42,.
05.12.2022 10:49:08,8.1,2.52,7.9,1.80,8.0,1.75,7.9,1.75,7.8,1.16,
05.12.2022 10:49:09,8.1,2.45,7.9,1.48,8.0,1.47,7.9,1.63,7.8,1.32,
05.12.2022 10:49:10,8.1,2.17,7.9,1.38,8.0,1.56,7.9,1.78,7.8,1.18,
05.12.2022 10:49:11,8.1,2.08,7.9,1.50,8.0,1.50,7.9,1.69,7.8,1.33,
