Data Ora;348 [°C];348 [m/s];261 [°C];261 [m/s];590 [°C];590 [m/s];154 [°C];154 [m/s];789 [°C];789 [m/s];
01.12.2022 10:56:23;9,7;0,59;9,7;0,57;9,8;0,64;9,8;0,46;---;0,51;
01.12.2022 10:56:24;9,7;0,54;9,7;0,54;9,7;0,56;9,8;0,43;9,8;0,49;
01.12.2022 10:56:25;9,7;0,50;9,7;0,52;9,7;0,55;9,7;0,44;9,7;0,48;
01.12.2022 10:56:26;9,7;0,51;9,7;0,48;9,7;0,49;9,7;0,44;9,7;0,43;
01.12.2022 10:56:27;9,7;0,47;9,7;0,45;9,7;0,52;9,7;0,40;9,7;0,42;
01.12.2022 10:56:28;9,7;0,54;9,7;0,45;9,7;0,50;9,7;0,40;9,7;0,40;
01.12.2022 10:56:29;9,6;0,61;9,7;0,52;9,7;0,58;9,7;0,47;9,7;0,46;
01.12.2022 10:56:30;9,6;0,56;9,7;0,46;9,6;0,59;9,7;0,48;9,7;0,47;
01.12.2022 10:56:31;9,6;0,58;9,6;0,56;9,6;0,61;9,6;0,46;9,6;0,51;
01.12.2022 10:56:32;9,6;0,57;9,6;0,52;9,6;0,57;9,6;0,48;9,6;0,49;
01.12.2022 10:56:33;9,6;0,57;9,6;0,52;9,6;0,56;9,6;0,45;9,6;0,45;
01.12.2022 10:56:34;9,6;0,47;9,6;0,43;9,6;0,50;9,6;0,40;9,6;0,45;
01.12.2022 10:56:35;9,6;0,44;9,6;0,41;9,6;0,43;9,6;0,39;9,6;0,39;
01.12.2022 10:56:36;9,6;0,42;9,6;0,43;9,6;0,46;9,6;0,36;9,6;0,39;
01.12.2022 10:56:37;9,6;0,47;9,6;0,45;9,6;0,50;9,6;0,38;9,6;0,42;
01.12.2022 10:56:38;9,6;0,45;9,6;0,49;9,6;0,48;9,6;0,41;9,6;0,42;
01.12.2022 10:56:39;9,6;0,46;9,6;0,50;9,6;0,54;9,6;0,39;9,6;0,42;
01.12.2022 10:56:40;9,6;0,45;9,5;0,47;9,6;0,48;9,6;0,37;9,6;0,41;
01.12.2022 10:56:41;9,6;0,46;9,6;0,45;9,6;0,47;9,7;0,41;9,6;0,40;
01.12.2022 10:56:42;9,6;0,47;9,6;0,43;9,6;0,50;9,6;0,41;9,6;0,41;
01.12.2022 10:56:43;9,6;0,46;9,5;0,47;9,6;0,51;9,6;0,38;9,6;0,42;
01.12.2022 10:56:44;9,6;0,43;9,5;0,48;9,6;0,49;9,6;0,39;9,6;0,41;
01.12.2022 10:56:45;9,6;0,38;9,5;0,40;9,6;0,44;9,6;0,36;9,6;0,39;
01.12.2022 10:56:46;9,6;0,35;9,5;0,41;9,6;0,37;9,6;0,32;9,6;0,36;
01.12.2022 10:56:47;9,6;0,38;9,5;0,40;9,6;0,44;9,6;0,32;9,6;0,36;
01.12.2022 10:56:48;9,6;0,42;9,5;0,43;9,6;0,46;9,6;0,33;9,6;0,37;
01.12.2022 10:56:49;9,5;0,48;9,5;0,45;9,5;0,55;9,6;0,39;9,6;0,41;
01.12.2022 10:56:50;9,5;0,47;9,5;0,47;9,5;0,54;9,6;0,39;9,6;0,42;
01.12.2022 10:56:51;9,5;0,44;9,5;0,48;9,5;0,53;9,6;0,38;9,6;0,43;
01.12.2022 10:56:52;9,6;0,39;9,5;0,41;9,6;0,44;9,6;0,28;9,6;0,43;
01.12.2022 10:56:53;9,6;0,36;9,6;0,35;9,6;0,42;9,7;0,21;9,6;0,36;
01.12.2022 10:56:54;9,6;0,32;9,6;---;9,6;0,35;9,7;0,23;9,6;0,32;
01.12.2022 10:56:55;9,6;0,32;9,6;0,24;9,6;0,32;9,7;0,22;9,6;0,24;
01.12.2022 10:56:56;9,6;0,32;9,6;0,32;9,6;0,33;9,7;0,30;9,7;0,26;
01.12.2022 10:56:57;9,6;0,42;9,6;0,42;9,6;0,45;9,6;0,36;9,6;0,34;
01.12.2022 10:56:58;9,6;0,42;9,6;0,41;9,6;0,44;9,6;0,34;9,6;0,39;
01.12.2022 10:56:59;9,6;0,46;9,6;0,42;9,6;0,46;9,6;0,32;9,6;0,40;
01.12.2022 10:57:00;9,6;0,44;9,6;0,40;9,6;0,49;9,6;0,36;9,6;0,40;
01.12.2022 10:57:01;9,6;0,40;9,6;0,39;9,6;0,46;9,6;0,32;9,6;0,38;
01.12.2022 10:57:02;9,6;0,37;9,6;0,36;9,6;0,47;9,7;0,28;9,6;0,38;
01.12.2022 10:57:03;9,6;0,29;9,6;0,27;9,6;0,33;9,7;0,24;9,6;0,33;
01.12.2022 10:57:04;9,6;0,25;9,6;0,18;9,6;0,29;9,7;0,20;9,6;0,24;
01.12.2022 10:57:05;9,7;0,22;9,7;0,14;9,6;0,27;9,7;0,19;9,7;0,21;
01.12.2022 10:57:06;9,7;0,20;9,7;0,16;9,6;0,22;9,7;0,23;9,7;0,18;
01.12.2022 10:57:07;9,6;0,25;9,6;0,28;9,6;0,32;9,7;0,26;9,7;0,25;
01.12.2022 10:57:08;9,6;0,25;9,6;0,19;9,6;0,32;9,7;0,24;9,6;0,28;
01.12.2022 10:57:09;9,6;0,19;9,6;0,13;9,6;0,28;9,7;0,20;9,6;0,21;
01.12.2022 10:57:10;9,6;0,13;9,7;0,02;9,6;0,12;9,7;0,14;9,7;0,13;
01.12.2022 10:57:11;9,6;0,09;9,7;0,02;9,6;0,14;9,7;0,10;9,7;0,10;
01.12.2022 10:57:12;9,7;0,13;9,7;---;9,6;0,23;9,7;0,08;9,7;0,15;
01.12.2022 10:57:13;9,6;0,15;9,7;0,06;9,6;0,19;9,7;0,12;9,7;0,14;
01.12.2022 10:57:14;9,7;0,06;9,7;0,04;9,6;0,10;9,7;0,04;9,7;0,11;
01.12.2022 10:57:15;9,7;0,09;9,7;0,02;9,6;0,07;9,7;0,12;9,7;0,05;
01.12.2022 10:57:16;9,7;0,25;9,7;0,14;9,6;0,20;9,7;0,22;9,7;0,14;
01.12.2022 10:57:17;9,6;0,34;9,7;0,12;9,6;0,30;9,7;0,34;9,7;0,19;
