Data Ora;154 [°C];154 [m/s];590 [°C];590 [m/s];150 [°C];150 [m/s];789 [°C];789 [m/s];261 [°C];261 [m/s];348 [°C];348 [m/s];
12.12.2022 11:51:44;---;---;---;---;---;---;0,7;1,09;---;---;---;1,09;
12.12.2022 11:51:45;0,7;1,33;0,7;1,08;0,8;0,07;0,7;1,42;0,7;1,27;0,7;1,44;
12.12.2022 11:51:46;0,7;1,39;0,7;1,09;0,8;0,07;0,7;1,51;0,7;1,63;0,7;1,65;
12.12.2022 11:51:47;0,7;1,44;0,6;1,38;0,8;0,04;0,7;---;0,7;1,50;0,7;1,74;
12.12.2022 11:51:48;0,7;1,60;0,7;1,08;0,8;0,08;0,7;1,48;0,7;1,11;0,7;1,86;
12.12.2022 11:51:49;0,7;1,59;0,7;1,02;0,8;0,08;0,7;1,56;0,7;1,50;0,7;1,82;
12.12.2022 11:51:50;0,7;1,53;0,7;0,89;0,8;0,11;0,7;1,52;---;1,50;0,7;1,79;
12.12.2022 11:51:51;0,7;1,46;---;0,85;0,8;0,07;0,7;1,40;0,7;1,45;0,7;1,64;
12.12.2022 11:51:52;0,7;1,53;0,7;1,10;0,8;0,06;0,7;1,55;0,7;1,58;0,7;1,73;
12.12.2022 11:51:53;0,7;1,50;---;1,30;0,8;0,03;0,7;1,59;0,7;1,60;0,7;1,88;
12.12.2022 11:51:54;0,7;1,44;0,7;1,31;0,8;0,09;0,7;1,72;0,7;1,60;0,7;1,79;
12.12.2022 11:51:55;0,7;1,30;---;1,29;0,8;0,09;0,7;1,64;0,7;1,85;0,7;1,37;
12.12.2022 11:51:56;0,7;1,08;0,7;1,95;0,8;0,44;0,6;1,23;0,7;2,40;0,7;1,11;
12.12.2022 11:51:57;0,7;1,22;0,6;1,55;0,8;0,20;0,6;1,39;0,7;1,73;0,7;1,34;
12.12.2022 11:51:58;0,7;1,31;0,6;2,04;0,8;0,20;0,6;1,50;0,7;2,09;0,7;1,56;
12.12.2022 11:51:59;0,7;1,46;---;1,91;0,8;0,14;0,6;1,36;0,6;1,96;0,7;1,62;
12.12.2022 11:52:00;0,7;1,44;0,6;1,78;0,8;0,11;0,6;1,36;0,6;1,76;0,7;1,61;
12.12.2022 11:52:01;0,7;1,53;0,6;1,51;0,8;0,13;0,6;1,50;---;1,43;0,7;1,76;
12.12.2022 11:52:02;0,7;1,41;---;1,33;0,8;0,12;0,6;1,38;0,6;1,57;0,7;1,57;
12.12.2022 11:52:03;0,7;1,45;0,6;1,40;0,8;0,11;0,6;1,60;0,6;1,84;0,7;1,71;
12.12.2022 11:52:04;0,7;1,47;0,6;1,62;0,8;0,09;0,6;1,26;0,6;1,88;0,7;1,73;
12.12.2022 11:52:05;0,7;1,61;---;1,23;0,8;0,06;0,6;1,24;0,6;1,10;0,7;1,80;
12.12.2022 11:52:06;0,7;1,52;0,6;1,18;0,8;0,12;0,6;1,11;0,7;1,12;0,7;1,50;
12.12.2022 11:52:07;0,7;1,64;0,6;1,28;0,8;0,07;0,6;1,37;0,7;1,31;0,7;1,75;
12.12.2022 11:52:08;0,7;1,89;0,6;0,94;0,8;0,09;0,6;1,58;0,7;1,35;0,7;2,00;
12.12.2022 11:52:09;0,7;1,72;---;1,33;0,8;0,05;0,6;1,72;0,7;1,72;0,7;2,18;
12.12.2022 11:52:10;0,7;1,58;0,6;1,26;0,8;0,01;0,6;1,57;0,7;1,70;0,7;1,89;
12.12.2022 11:52:11;0,7;1,48;0,6;1,26;0,8;0,04;0,6;1,25;0,7;1,42;0,7;1,74;
12.12.2022 11:52:12;0,7;1,46;---;0,88;0,8;0,03;0,6;0,93;0,7;1,04;0,7;1,68;
12.12.2022 11:52:13;0,7;1,53;0,7;0,83;0,8;0,06;0,7;0,83;0,7;0,95;0,7;1,45;
12.12.2022 11:52:14;0,7;1,38;---;1,11;0,8;0,03;0,7;0,79;0,7;1,04;0,7;1,16;
12.12.2022 11:52:15;0,7;1,48;0,7;1,41;0,8;0,09;0,7;---;0,7;1,16;0,7;1,23;
12.12.2022 11:52:16;0,7;1,39;0,6;1,40;0,8;0,08;0,7;1,44;0,7;1,18;0,7;1,59;
12.12.2022 11:52:17;0,7;1,75;0,6;1,46;0,8;0,08;0,7;1,76;0,7;1,61;0,7;2,14;
12.12.2022 11:52:18;0,7;1,94;---;1,89;0,8;0,09;0,6;1,79;0,7;1,96;0,7;2,14;
12.12.2022 11:52:19;0,7;1,93;0,6;2,16;0,8;0,19;0,6;1,74;0,7;2,26;0,7;2,16;
12.12.2022 11:52:20;0,7;1,90;0,6;1,95;0,8;0,15;0,6;1,76;0,7;2,06;0,7;2,24;
12.12.2022 11:52:21;0,7;1,81;0,6;1,92;0,8;0,16;0,6;1,82;0,7;1,92;0,7;2,14;
12.12.2022 11:52:22;0,7;1,77;0,6;1,93;0,8;0,13;0,6;1,65;0,6;2,19;0,7;1,93;
12.12.2022 11:52:23;0,7;1,34;0,6;1,82;0,8;0,17;0,6;1,59;0,6;2,00;0,7;1,62;
12.12.2022 11:52:24;0,7;1,40;---;1,43;0,8;0,15;0,6;1,48;0,6;1,80;0,7;1,63;
12.12.2022 11:52:25;0,7;1,40;0,6;1,43;0,8;0,15;0,6;1,53;0,7;1,66;0,7;1,83;
12.12.2022 11:52:26;0,7;1,51;---;1,16;0,8;0,16;0,6;1,47;0,7;1,76;0,7;1,68;
12.12.2022 11:52:27;0,7;1,67;0,6;1,26;0,8;0,18;0,6;1,52;0,6;1,76;0,7;1,78;
12.12.2022 11:52:28;0,7;1,78;0,6;1,49;0,8;0,14;0,6;---;0,7;1,76;0,7;1,97;
12.12.2022 11:52:29;0,7;2,00;0,6;1,14;0,8;0,18;0,6;1,56;0,7;1,53;0,7;2,08;
12.12.2022 11:52:30;0,7;2,18;0,6;1,01;0,8;0,13;0,6;2,17;0,7;1,27;0,7;2,53;
12.12.2022 11:52:31;0,7;2,10;---;1,49;0,8;0,10;0,6;2,08;0,7;2,23;0,7;2,63;
12.12.2022 11:52:32;0,7;2,01;0,6;1,64;0,8;0,05;0,6;2,26;0,7;2,23;0,7;2,58;
12.12.2022 11:52:33;0,7;1,82;0,6;2,17;0,8;0,11;0,6;2,25;0,6;2,59;0,7;2,43;
12.12.2022 11:52:34;0,7;1,91;---;2,41;0,8;0,13;0,6;1,97;0,6;2,54;0,7;2,36;
12.12.2022 11:52:35;0,7;2,05;0,6;2,30;0,8;0,12;0,6;1,95;0,6;2,36;0,7;2,47;
12.12.2022 11:52:36;0,7;1,97;0,6;2,01;0,8;0,11;0,6;1,98;0,6;2,26;0,7;2,31;
12.12.2022 11:52:37;0,7;2,13;---;2,02;0,8;0,09;0,6;2,08;0,6;2,39;0,7;2,48;
12.12.2022 11:52:38;0,7;2,54;0,6;2,55;0,8;0,09;0,6;2,23;0,6;2,54;0,7;2,95;
12.12.2022 11:52:39;0,7;2,26;---;2,48;0,8;0,10;0,6;2,26;0,6;2,58;0,7;2,55;
12.12.2022 11:52:40;0,7;1,98;0,6;2,34;0,8;0,10;0,6;2,15;0,6;2,36;0,7;2,27;
12.12.2022 11:52:41;0,7;1,94;0,6;2,30;0,8;0,14;0,6;2,03;0,6;2,61;0,7;2,28;
12.12.2022 11:52:42;0,7;2,16;0,6;2,34;0,8;0,07;0,6;2,12;0,6;2,40;0,7;2,57;
12.12.2022 11:52:43;0,6;2,44;0,6;2,19;0,8;0,07;0,6;---;0,6;2,43;0,6;2,91;
12.12.2022 11:52:44;0,6;2,67;0,6;2,19;0,8;0,02;0,6;2,37;0,6;2,48;0,6;3,33;
12.12.2022 11:52:45;0,6;3,04;---;1,90;0,8;0,07;0,6;2,22;0,6;1,96;0,6;3,24;
12.12.2022 11:52:46;0,6;2,80;0,6;1,63;0,8;0,13;0,6;2,98;0,6;1,85;0,6;3,27;
12.12.2022 11:52:47;0,6;3,38;0,6;1,87;0,8;0,16;0,6;3,38;0,6;2,75;0,6;3,97;
12.12.2022 11:52:48;0,6;3,82;---;2,84;0,8;0,17;0,6;3,91;0,6;3,17;0,6;4,53;
12.12.2022 11:52:49;0,7;3,51;0,6;3,30;0,8;0,18;0,6;3,54;0,6;4,25;0,6;3,99;
12.12.2022 11:52:50;0,7;2,90;0,6;3,54;0,8;0,29;0,6;3,29;0,6;3,82;0,6;3,52;
12.12.2022 11:52:51;0,7;2,63;0,5;3,41;0,8;0,33;0,6;3,17;0,6;4,33;0,6;3,40;
12.12.2022 11:52:52;0,6;2,62;---;4,09;0,8;0,28;0,6;2,67;0,6;4,16;0,6;3,05;
12.12.2022 11:52:53;0,6;2,47;0,5;3,39;0,8;0,25;0,6;1,88;0,6;3,33;0,6;2,77;
12.12.2022 11:52:54;0,6;2,39;0,6;3,35;0,8;0,23;0,6;1,40;0,6;2,45;0,6;1,89;
12.12.2022 11:52:55;0,7;2,04;0,6;2,09;0,8;0,22;0,6;1,55;0,6;2,03;0,7;1,98;
12.12.2022 11:52:56;0,7;2,39;0,6;1,22;0,8;0,24;0,6;---;0,6;1,78;0,7;2,69;
12.12.2022 11:52:57;0,7;2,08;---;1,40;0,8;0,19;0,6;1,65;0,6;2,13;0,7;2,09;
12.12.2022 11:52:58;0,7;2,07;0,6;1,65;0,8;0,20;0,6;2,04;0,6;2,08;0,7;2,36;
12.12.2022 11:52:59;0,7;2,23;0,6;1,29;0,8;0,19;0,6;2,28;0,6;2,22;0,7;2,64;
12.12.2022 11:53:00;0,7;2,32;0,6;2,21;0,8;0,16;0,6;2,26;0,6;2,62;0,7;2,66;
12.12.2022 11:53:01;0,7;2,13;---;2,05;0,8;0,18;0,6;2,33;0,6;2,66;0,7;2,68;
12.12.2022 11:53:02;0,6;2,31;0,6;2,60;0,8;0,26;0,6;2,20;0,6;2,59;0,7;2,32;
12.12.2022 11:53:03;0,7;1,92;0,6;1,80;0,8;0,27;0,6;1,97;0,6;2,57;0,7;2,15;
12.12.2022 11:53:04;0,7;1,78;0,6;1,45;0,8;0,19;0,6;1,82;0,6;2,41;0,7;1,90;
12.12.2022 11:53:05;0,7;1,93;---;1,31;0,8;0,19;0,6;1,63;0,6;2,02;0,7;2,16;
12.12.2022 11:53:06;0,7;1,99;0,6;1,68;0,8;0,19;0,6;1,66;0,6;1,82;0,7;2,03;
12.12.2022 11:53:07;0,7;1,99;---;1,51;0,8;0,28;0,6;1,62;0,6;2,27;0,7;2,00;
12.12.2022 11:53:08;0,7;1,65;0,6;1,79;0,8;0,19;0,6;1,41;0,6;2,14;0,7;1,72;
12.12.2022 11:53:09;0,7;1,51;0,6;1,52;0,8;0,21;0,6;1,32;0,6;1,69;0,7;1,53;
12.12.2022 11:53:10;0,7;1,67;0,6;1,47;0,8;0,19;0,6;---;0,6;1,51;0,7;1,51;
12.12.2022 11:53:11;0,7;1,75;0,6;1,16;0,7;0,20;0,6;1,35;0,6;1,29;0,7;1,35;
12.12.2022 11:53:12;0,7;2,08;0,6;1,57;0,7;0,19;0,6;1,65;0,6;1,56;0,7;1,84;
12.12.2022 11:53:13;0,7;2,05;---;1,38;0,7;0,18;0,6;1,72;0,6;1,79;0,7;2,03;
12.12.2022 11:53:14;0,7;2,10;0,6;1,59;0,7;0,14;0,6;---;0,6;1,80;0,7;2,36;
12.12.2022 11:53:15;0,6;2,35;---;1,91;0,7;0,10;0,6;1,70;0,6;2,04;0,6;2,67;
12.12.2022 11:53:16;0,6;2,37;0,6;2,46;0,7;0,05;0,6;2,16;0,6;2,47;0,6;2,70;
12.12.2022 11:53:17;0,6;2,15;---;2,43;0,7;0,11;0,6;2,00;0,6;2,48;0,6;2,54;
12.12.2022 11:53:18;0,6;1,90;0,5;2,44;0,7;0,17;0,6;1,88;0,6;2,27;0,6;2,22;
12.12.2022 11:53:19;0,6;1,84;0,5;2,13;0,7;0,14;0,6;---;0,6;2,22;0,6;2,07;
12.12.2022 11:53:20;0,6;1,83;0,5;1,99;0,7;0,16;0,6;1,80;0,6;2,11;0,6;2,28;
12.12.2022 11:53:21;0,7;1,90;0,5;1,91;0,7;0,14;0,6;1,97;0,6;2,11;0,7;2,22;
12.12.2022 11:53:22;0,7;1,95;0,6;2,06;0,7;0,15;0,6;2,05;0,6;2,30;0,7;2,48;
12.12.2022 11:53:23;0,7;1,79;0,5;2,14;0,7;0,18;0,6;1,90;0,6;2,53;0,7;2,19;
12.12.2022 11:53:24;0,7;1,65;0,5;2,47;0,7;0,15;0,6;1,59;0,6;2,23;0,7;1,97;
12.12.2022 11:53:25;0,6;1,70;---;1,97;0,7;0,09;0,6;1,52;0,6;2,01;0,6;1,86;
12.12.2022 11:53:26;0,7;1,39;0,5;1,89;0,7;0,11;0,6;1,33;0,6;1,65;0,7;1,60;
12.12.2022 11:53:27;0,7;1,36;---;1,45;0,7;0,12;0,6;1,12;0,6;1,53;0,7;1,53;
12.12.2022 11:53:28;0,7;1,20;0,6;1,47;0,7;0,10;0,6;---;0,6;1,39;0,7;1,37;
12.12.2022 11:53:29;0,7;1,20;0,6;1,36;0,7;0,12;0,6;1,04;0,6;1,35;0,7;1,28;
12.12.2022 11:53:30;0,7;1,28;0,6;1,19;0,7;0,11;0,6;1,30;0,6;1,24;0,7;1,39;
12.12.2022 11:53:31;0,7;1,46;0,6;1,42;0,7;0,10;0,6;1,51;0,6;1,50;0,7;1,86;
12.12.2022 11:53:32;0,7;1,84;0,6;1,62;0,7;0,09;0,6;---;0,6;1,70;0,7;1,94;
12.12.2022 11:53:33;0,7;1,76;0,6;1,81;0,7;0,08;0,6;1,76;0,6;1,96;0,7;2,01;
12.12.2022 11:53:34;0,7;1,71;0,6;2,07;0,7;0,07;0,6;1,74;0,6;2,01;0,7;2,06;
12.12.2022 11:53:35;0,7;1,53;0,6;1,90;0,7;0,10;0,6;1,61;0,6;1,95;0,7;1,87;
12.12.2022 11:53:36;0,7;1,38;0,6;1,56;0,7;0,06;0,6;1,32;0,6;1,74;0,7;1,59;
12.12.2022 11:53:37;0,7;1,24;0,6;1,40;0,7;0,06;0,6;1,13;0,6;1,56;0,7;1,43;
12.12.2022 11:53:38;0,7;1,21;0,6;1,34;0,7;0,05;0,6;1,08;0,6;1,34;0,7;1,30;
12.12.2022 11:53:39;0,7;1,42;0,6;1,11;0,7;0,09;0,6;1,39;0,6;1,32;0,7;1,64;
12.12.2022 11:53:40;0,7;1,72;0,6;1,15;0,7;0,09;0,6;1,74;0,6;1,37;0,7;1,98;
12.12.2022 11:53:41;0,7;2,56;0,6;1,10;0,7;0,08;0,6;2,18;0,7;1,34;0,7;2,88;
12.12.2022 11:53:42;0,7;2,27;0,6;1,15;0,7;0,07;0,6;1,80;0,7;1,60;0,7;2,46;
12.12.2022 11:53:43;0,7;1,66;0,6;1,70;0,7;0,08;0,6;1,63;0,6;2,11;0,7;1,86;
12.12.2022 11:53:44;0,7;1,66;0,6;1,92;0,7;0,14;0,6;1,75;0,6;1,98;0,7;2,01;
12.12.2022 11:53:45;0,7;1,75;0,6;2,00;0,7;0,14;0,6;1,61;0,6;1,87;0,7;1,67;
12.12.2022 11:53:46;0,7;1,53;---;1,83;0,7;0,19;0,6;1,49;0,6;1,75;0,7;1,59;
12.12.2022 11:53:47;0,7;1,88;0,6;2,08;0,7;0,18;0,6;---;0,6;1,66;0,7;1,98;
12.12.2022 11:53:48;0,7;1,97;---;1,91;0,7;0,15;0,6;2,27;0,6;2,30;0,7;2,32;
12.12.2022 11:53:49;0,7;1,89;0,6;2,19;0,7;0,14;0,6;1,89;0,6;2,52;0,7;2,28;
12.12.2022 11:53:50;0,7;1,77;---;2,54;0,7;0,09;0,6;1,92;0,6;2,30;0,7;2,30;
12.12.2022 11:53:51;0,7;1,83;0,6;2,35;0,7;0,07;0,6;1,98;0,6;2,36;0,7;2,44;
12.12.2022 11:53:52;0,7;1,72;0,6;2,47;0,7;0,09;0,6;1,74;0,6;2,18;0,7;2,10;
12.12.2022 11:53:53;0,7;1,71;---;2,11;0,7;0,11;0,6;1,69;0,6;1,99;0,7;1,96;
12.12.2022 11:53:54;0,7;2,03;0,6;1,88;0,7;0,03;0,6;1,79;0,6;1,92;0,7;2,22;
12.12.2022 11:53:55;0,7;1,73;---;1,94;0,7;0,03;0,6;---;0,6;2,20;0,7;2,02;
12.12.2022 11:53:56;0,7;1,64;0,6;1,80;0,7;0,08;0,6;2,14;0,6;2,04;0,7;2,28;
12.12.2022 11:53:57;0,7;1,70;0,6;1,73;0,7;0,06;0,6;1,90;0,6;2,57;0,7;2,00;
12.12.2022 11:53:58;0,7;1,88;0,6;1,98;0,7;0,03;0,6;1,85;0,6;1,99;0,7;2,31;
12.12.2022 11:53:59;0,7;1,93;---;2,02;0,7;0,03;0,6;1,63;0,6;2,10;0,7;2,30;
12.12.2022 11:54:00;0,7;1,73;0,6;1,83;0,8;0,01;0,6;1,79;0,6;1,88;0,7;2,20;
12.12.2022 11:54:01;0,7;1,41;0,6;1,93;0,7;0,04;0,6;1,49;0,6;1,83;0,7;1,60;
12.12.2022 11:54:02;0,7;1,39;0,6;1,64;0,7;0,08;0,6;---;0,6;1,77;0,7;1,78;
12.12.2022 11:54:03;0,7;1,15;0,6;2,04;0,8;0,05;0,6;1,88;0,6;2,20;0,7;1,97;
12.12.2022 11:54:04;0,7;1,52;0,6;2,04;0,8;0,07;0,6;1,89;0,6;2,00;0,7;2,14;
12.12.2022 11:54:05;0,7;1,74;0,6;2,27;0,8;0,08;0,6;1,93;0,6;2,03;0,7;2,14;
12.12.2022 11:54:06;0,7;1,76;0,6;2,18;0,8;0,09;0,6;1,84;0,6;2,16;0,7;2,16;
12.12.2022 11:54:07;0,7;1,69;0,6;2,00;0,8;0,14;0,6;1,86;0,6;2,03;0,7;1,98;
12.12.2022 11:54:08;0,7;1,78;0,6;1,88;0,8;0,14;0,6;1,90;0,6;2,01;0,7;2,20;
12.12.2022 11:54:09;0,7;1,98;0,6;1,78;0,8;0,07;0,6;---;0,6;1,87;0,7;2,31;
12.12.2022 11:54:10;0,7;1,84;---;1,71;0,8;0,11;0,6;1,94;0,6;2,12;0,7;2,37;
12.12.2022 11:54:11;0,7;1,74;0,6;2,27;0,8;0,17;0,6;1,98;0,6;2,45;0,7;2,09;
12.12.2022 11:54:12;0,7;1,42;0,6;1,96;0,8;0,20;0,6;1,83;0,6;2,43;0,7;1,72;
12.12.2022 11:54:13;0,7;1,48;0,6;2,05;0,8;0,21;0,6;1,06;0,6;2,14;0,7;1,56;
12.12.2022 11:54:14;0,7;1,79;0,6;1,79;0,8;0,20;0,6;1,40;0,6;1,46;0,7;1,73;
12.12.2022 11:54:15;0,7;1,57;0,6;1,68;0,8;0,19;0,6;1,60;0,6;1,92;0,7;2,05;
12.12.2022 11:54:16;0,7;1,63;0,6;1,51;0,8;0,21;0,6;1,58;0,6;1,93;0,7;1,78;
12.12.2022 11:54:17;0,7;1,63;0,6;1,76;0,8;0,20;0,6;1,50;0,6;2,15;0,7;1,73;
12.12.2022 11:54:18;0,7;1,51;0,6;1,95;0,8;0,15;0,6;1,35;0,6;2,00;0,7;1,63;
12.12.2022 11:54:19;0,7;1,51;---;1,67;0,8;0,13;0,6;---;0,6;1,65;0,7;1,62;
12.12.2022 11:54:20;0,7;1,82;0,6;1,49;0,8;0,14;0,6;1,43;0,6;1,54;0,7;1,89;
12.12.2022 11:54:21;0,7;2,08;0,6;1,44;0,8;0,18;0,6;1,38;0,7;1,59;0,7;1,96;
12.12.2022 11:54:22;0,7;1,73;0,6;1,43;0,8;0,16;0,6;1,24;0,7;1,49;0,7;1,62;
12.12.2022 11:54:23;0,7;1,52;0,6;1,39;0,8;0,14;0,6;1,29;0,7;1,54;0,7;1,55;
12.12.2022 11:54:24;0,7;1,52;0,6;1,42;0,8;0,16;0,6;1,66;0,7;1,61;0,7;1,82;
12.12.2022 11:54:25;0,7;1,77;0,6;1,57;0,8;0,14;0,6;1,72;0,7;1,81;0,7;2,06;
12.12.2022 11:54:26;0,7;1,82;0,6;1,98;0,8;0,12;0,6;---;0,7;2,08;0,7;2,14;
12.12.2022 11:54:27;0,7;1,99;0,6;2,22;0,8;0,14;0,6;2,12;0,6;2,40;0,7;2,46;
12.12.2022 11:54:28;0,7;2,49;0,6;2,54;0,8;0,14;0,6;2,00;0,6;2,63;0,7;2,73;
