Data Ora;154 [°C];154 [m/s];590 [°C];590 [m/s];150 [°C];150 [m/s];789 [°C];789 [m/s];261 [°C];261 [m/s];348 [°C];348 [m/s];,,,,,,,,,,,,
12.12.2022 12:06:13;0,9;---;---;0,90;1,1;0,01;0,9;---;0,9;0,92;1,1;0,92;,,,
12.12.2022 12:06:14;0,9;0,98;1,0;0,98;1,1;0,03;---;0,80;0,9;1,07;1,1;1,14;,
12.12.2022 12:06:15;0,9;0,98;1,0;0,96;1,1;0,05;0,9;1,00;0,9;1,10;1,1;1,26;
12.12.2022 12:06:16;0,9;0,99;1,0;1,13;1,1;0,09;0,9;1,17;0,9;1,19;1,1;1,31;
12.12.2022 12:06:17;0,9;0,84;1,0;1,42;1,1;0,11;0,9;1,16;0,9;---;1,1;1,09;,
12.12.2022 12:06:18;0,9;0,93;1,0;1,52;1,1;0,14;0,9;0,99;0,9;1,38;1,1;1,30;
12.12.2022 12:06:19;0,9;0,53;1,0;1,54;1,1;0,38;0,9;1,13;0,9;1,46;1,1;0,90;
12.12.2022 12:06:20;0,9;0,61;1,0;1,66;1,0;0,33;0,9;0,89;0,9;1,42;1,1;0,58;
12.12.2022 12:06:21;0,9;---;1,0;1,57;1,0;0,20;0,9;0,58;0,9;0,97;1,1;0,60;,
12.12.2022 12:06:22;0,9;0,61;1,0;1,34;1,0;0,18;0,9;0,48;0,9;0,94;1,1;0,60;
12.12.2022 12:06:23;0,9;---;1,0;0,98;1,1;0,17;---;0,62;0,9;0,97;1,1;0,72;,,
12.12.2022 12:06:24;0,9;0,63;1,0;0,83;1,1;0,17;0,9;0,65;0,9;1,04;1,1;0,72;
12.12.2022 12:06:25;0,9;0,59;1,0;0,83;1,1;0,13;0,9;0,57;0,9;0,98;1,1;0,82;
12.12.2022 12:06:26;0,9;0,68;1,0;1,06;1,1;0,09;---;0,56;0,9;---;1,1;0,83;,,
12.12.2022 12:06:27;0,9;0,70;1,0;1,01;1,1;0,07;0,9;0,62;0,9;0,96;1,1;0,78;
12.12.2022 12:06:28;0,9;0,66;1,0;0,97;1,1;0,03;0,9;0,63;0,9;0,70;1,1;0,68;
12.12.2022 12:06:29;1,0;---;1,0;0,89;1,1;0,02;0,9;0,70;0,9;---;1,1;0,67;,,
12.12.2022 12:06:30;1,0;0,57;1,0;0,81;1,1;0,02;0,9;0,62;0,9;0,70;1,1;0,75;
12.12.2022 12:06:31;1,0;0,46;1,0;0,86;1,1;0,03;---;0,61;0,9;0,71;1,1;0,74;,
12.12.2022 12:06:32;1,0;0,34;1,0;0,71;1,1;0,05;0,9;0,53;0,9;0,68;1,1;0,64;
12.12.2022 12:06:33;1,0;---;1,0;0,82;1,1;0,10;0,9;0,55;0,9;0,79;1,1;0,61;,
12.12.2022 12:06:34;1,0;0,44;1,0;0,94;1,1;0,12;0,9;0,58;0,9;0,76;1,1;0,60;
12.12.2022 12:06:35;1,0;0,44;1,0;0,82;1,1;0,10;0,9;0,48;0,9;0,69;1,1;0,61;
12.12.2022 12:06:36;1,0;---;1,0;0,75;1,1;0,11;---;0,55;0,9;0,75;1,1;0,65;,,
12.12.2022 12:06:37;1,0;0,40;1,0;0,86;1,1;0,19;0,9;0,52;0,9;0,81;1,1;0,57;
12.12.2022 12:06:38;1,0;---;1,0;0,88;1,1;0,21;0,9;0,55;0,9;0,86;1,1;0,62;,
12.12.2022 12:06:39;1,0;0,34;1,0;1,09;1,1;0,14;0,9;0,62;0,9;---;1,1;0,66;,
