Data Ora;154 [°C];154 [m/s];348 [°C];348 [m/s];150 [°C];150 [m/s];261 [°C];261 [m/s];789 [°C];789 [m/s];590 [°C];590 [m/s];
14.12.2022 16:53:40;---;---;---;---;0,6;---;---;---;0,7;3,43;---;3,85;
14.12.2022 16:53:41;0,9;2,23;0,9;0,26;---;2,66;0,7;3,47;0,8;3,98;0,9;3,70;
14.12.2022 16:53:42;0,9;2,12;0,9;0,37;0,6;3,12;0,7;4,07;0,8;---;0,9;3,38;
14.12.2022 16:53:43;0,9;2,23;0,9;0,39;---;3,17;0,8;3,87;---;3,44;0,9;---;
14.12.2022 16:53:44;0,9;2,16;0,9;0,42;0,6;2,43;0,8;3,51;0,7;3,18;0,9;2,88;
14.12.2022 16:53:45;0,9;2,07;0,9;0,34;---;---;0,7;3,86;0,7;3,58;0,9;3,94;
14.12.2022 16:53:46;0,9;2,39;0,9;0,39;---;---;0,7;3,76;0,7;---;0,9;4,10;
14.12.2022 16:53:47;0,9;2,14;0,9;0,24;---;---;0,7;3,54;0,7;3,44;0,9;3,83;
14.12.2022 16:53:48;0,9;2,00;0,9;0,30;---;---;0,7;3,67;---;---;0,9;3,31;
14.12.2022 16:53:49;0,9;1,60;0,9;0,26;---;---;0,7;3,28;0,7;3,26;0,9;2,88;
14.12.2022 16:53:50;0,9;1,79;0,9;0,26;---;---;0,7;2,73;0,7;2,13;0,9;3,21;
14.12.2022 16:53:51;0,9;1,94;0,9;0,24;---;---;0,7;2,53;0,7;2,44;0,9;3,38;
14.12.2022 16:53:52;0,9;1,67;0,9;0,46;---;---;0,7;2,65;0,7;---;0,9;2,95;
14.12.2022 16:53:53;0,9;1,58;0,9;0,20;---;---;0,7;2,51;0,7;1,96;0,9;2,44;
14.12.2022 16:53:54;0,9;1,89;0,9;0,27;0,6;---;0,7;2,75;0,7;---;0,9;2,50;
14.12.2022 16:53:55;0,9;1,80;0,9;0,21;0,6;2,26;0,7;2,75;0,7;2,66;0,9;3,39;
14.12.2022 16:53:56;0,9;1,77;0,9;0,21;0,6;2,56;0,7;3,43;0,7;2,93;0,9;2,87;
14.12.2022 16:53:57;0,9;1,85;0,9;0,23;---;---;0,7;3,56;---;---;0,9;3,44;
