Data Ora;348 [°C];348 [m/s];261 [°C];261 [m/s];590 [°C];590 [m/s];154 [°C];154 [m/s];789 [°C];789 [m/s];
02.12.2022 09:48:40;7,6;0,43;---;---;7,3;0,18;8,1;0,10;7,3;0,29;
02.12.2022 09:48:41;7,6;0,26;---;---;7,3;0,17;8,1;0,11;7,3;0,25;
02.12.2022 09:48:42;7,6;0,33;---;---;7,3;0,17;8,1;0,14;7,3;---;
02.12.2022 09:48:43;7,6;0,20;---;---;7,3;0,19;8,1;0,15;7,3;0,26;
02.12.2022 09:48:44;7,6;0,34;---;---;7,3;0,19;8,1;0,16;7,3;0,38;
02.12.2022 09:48:45;7,6;0,33;---;---;7,3;0,20;8,1;0,17;7,2;0,29;
02.12.2022 09:48:46;7,6;0,31;---;---;7,3;0,22;8,1;0,16;7,2;0,26;
02.12.2022 09:48:47;7,5;0,37;---;---;7,3;0,24;8,1;0,15;7,2;---;
02.12.2022 09:48:48;7,5;0,38;---;---;7,2;0,22;8,1;0,16;7,2;0,39;
02.12.2022 09:48:49;7,5;0,40;---;---;7,2;0,19;8,1;0,16;7,2;0,25;
02.12.2022 09:48:50;7,5;0,42;---;---;7,2;0,19;8,0;0,15;7,2;0,19;
02.12.2022 09:48:51;7,5;0,70;---;---;7,2;0,20;8,0;0,14;7,2;0,25;
02.12.2022 09:48:52;7,5;0,76;---;---;7,2;0,23;8,0;0,11;7,1;---;
02.12.2022 09:48:53;7,5;0,78;---;---;7,2;0,18;8,0;0,09;7,1;0,53;
02.12.2022 09:48:54;7,5;0,77;---;---;7,2;0,19;8,0;0,13;7,1;0,54;
02.12.2022 09:48:55;7,5;0,65;---;---;7,2;0,18;8,0;0,14;7,1;0,56;
02.12.2022 09:48:56;7,5;0,73;---;---;7,2;0,15;8,0;0,12;7,1;0,66;
02.12.2022 09:48:57;7,5;0,64;---;---;7,2;0,17;8,0;0,09;7,1;0,64;
02.12.2022 09:48:58;7,5;0,44;---;---;7,2;0,17;8,0;0,10;7,1;0,57;
02.12.2022 09:48:59;7,5;0,37;---;---;7,2;0,30;8,0;0,11;7,1;0,51;
02.12.2022 09:49:00;7,5;0,31;---;---;7,2;0,21;8,0;0,14;7,1;0,48;
02.12.2022 09:49:01;7,5;0,43;---;---;7,2;0,21;7,9;0,15;7,1;---;
02.12.2022 09:49:02;7,5;0,20;---;---;7,2;0,21;7,9;0,24;7,1;0,26;
02.12.2022 09:49:03;7,5;0,20;---;---;7,2;0,21;7,9;0,17;7,1;0,24;
